Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.920V,2.000V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2160.000000,680.000000
2,2160.000000,680.000000
3,2160.000000,720.000000
4,2160.000000,680.000000
5,2160.000000,720.000000
6,2160.000000,720.000000
7,2160.000000,720.000000
8,2200.000000,680.000000
9,2200.000000,720.000000
10,2200.000000,720.000000
11,2200.000000,720.000000
12,2200.000000,720.000000
13,2240.000000,720.000000
14,2200.000000,720.000000
15,2200.000000,720.000000
16,2240.000000,720.000000
17,2240.000000,720.000000
18,2240.000000,720.000000
19,2240.000000,760.000000
20,2280.000000,720.000000
21,2240.000000,720.000000
22,2280.000000,760.000000
23,2240.000000,720.000000
24,2240.000000,760.000000
25,2240.000000,720.000000
26,2280.000000,760.000000
27,2280.000000,720.000000
28,2280.000000,760.000000
29,2280.000000,720.000000
30,2280.000000,760.000000
31,2280.000000,760.000000
32,2280.000000,760.000000
33,2280.000000,760.000000
34,2320.000000,760.000000
35,2280.000000,760.000000
36,2320.000000,760.000000
37,2320.000000,760.000000
38,2320.000000,760.000000
39,2360.000000,760.000000
40,2360.000000,760.000000
41,2360.000000,760.000000
42,2360.000000,760.000000
43,2360.000000,760.000000
44,2360.000000,760.000000
45,2360.000000,760.000000
46,2360.000000,760.000000
47,2400.000000,760.000000
48,2400.000000,760.000000
49,2400.000000,760.000000
50,2400.000000,760.000000
51,2360.000000,760.000000
52,2400.000000,760.000000
53,2440.000000,800.000000
54,2440.000000,800.000000
55,2400.000000,760.000000
56,2440.000000,760.000000
57,2400.000000,760.000000
58,2440.000000,800.000000
59,2440.000000,800.000000
60,2400.000000,800.000000
61,2440.000000,800.000000
62,2440.000000,800.000000
63,2440.000000,800.000000
64,2440.000000,800.000000
65,2440.000000,800.000000
66,2440.000000,800.000000
67,2440.000000,800.000000
68,2440.000000,800.000000
69,2440.000000,800.000000
70,2480.000000,800.000000
71,2480.000000,800.000000
72,2480.000000,800.000000
73,2440.000000,800.000000
74,2480.000000,800.000000
75,2520.000000,800.000000
76,2480.000000,800.000000
77,2480.000000,840.000000
78,2480.000000,840.000000
79,2560.000000,840.000000
80,2520.000000,800.000000
81,2520.000000,840.000000
82,2520.000000,840.000000
83,2520.000000,800.000000
84,2520.000000,840.000000
85,2520.000000,840.000000
86,2520.000000,840.000000
87,2520.000000,840.000000
88,2560.000000,800.000000
89,2520.000000,840.000000
90,2560.000000,840.000000
91,2560.000000,840.000000
92,2560.000000,840.000000
93,2560.000000,840.000000
94,2560.000000,840.000000
95,2560.000000,840.000000
96,2600.000000,840.000000
97,2600.000000,800.000000
98,2600.000000,840.000000
99,2600.000000,840.000000
100,2600.000000,840.000000
101,2600.000000,840.000000
102,2600.000000,840.000000
103,2600.000000,840.000000
104,2600.000000,840.000000
105,2600.000000,840.000000
106,2600.000000,840.000000
107,2600.000000,840.000000
108,2600.000000,840.000000
109,2600.000000,840.000000
110,2640.000000,840.000000
111,2640.000000,880.000000
112,2640.000000,840.000000
113,2600.000000,880.000000
114,2680.000000,840.000000
115,2640.000000,880.000000
116,2640.000000,880.000000
117,2600.000000,880.000000
118,2640.000000,840.000000
119,2640.000000,880.000000
120,2680.000000,880.000000
121,2680.000000,880.000000
122,2680.000000,880.000000
123,2680.000000,880.000000
124,2680.000000,880.000000
125,2680.000000,880.000000
126,2680.000000,880.000000
127,2680.000000,880.000000
128,2680.000000,880.000000
129,2680.000000,880.000000
130,2720.000000,880.000000
131,2720.000000,880.000000
132,2720.000000,880.000000
133,2720.000000,840.000000
134,2720.000000,880.000000
135,2720.000000,880.000000
136,2680.000000,880.000000
137,2720.000000,920.000000
138,2720.000000,880.000000
139,2720.000000,880.000000
140,2760.000000,880.000000
141,2720.000000,880.000000
142,2760.000000,880.000000
143,2720.000000,920.000000
144,2720.000000,920.000000
145,2760.000000,880.000000
146,2760.000000,880.000000
147,2760.000000,880.000000
148,2720.000000,880.000000
149,2760.000000,880.000000
150,2760.000000,920.000000
151,2760.000000,920.000000
152,2760.000000,880.000000
153,2760.000000,880.000000
154,2760.000000,880.000000
155,2760.000000,880.000000
156,2760.000000,880.000000
157,2760.000000,880.000000
158,2800.000000,880.000000
159,2800.000000,920.000000
160,2800.000000,920.000000
161,2760.000000,920.000000
162,2800.000000,880.000000
163,2800.000000,920.000000
164,2800.000000,920.000000
165,2800.000000,920.000000
166,2800.000000,920.000000
167,2800.000000,920.000000
168,2800.000000,880.000000
169,2800.000000,920.000000
170,2800.000000,920.000000
171,2840.000000,920.000000
172,2800.000000,920.000000
173,2800.000000,920.000000
174,2840.000000,880.000000
175,2840.000000,920.000000
176,2840.000000,920.000000
177,2840.000000,920.000000
178,2840.000000,920.000000
179,2840.000000,920.000000
180,2840.000000,920.000000
181,2840.000000,920.000000
182,2840.000000,920.000000
183,2840.000000,920.000000
184,2840.000000,920.000000
185,2840.000000,960.000000
186,2840.000000,920.000000
187,2840.000000,920.000000
188,2840.000000,920.000000
189,2840.000000,920.000000
190,2840.000000,920.000000
191,2840.000000,920.000000
192,2840.000000,920.000000
193,2840.000000,920.000000
194,2880.000000,960.000000
195,2880.000000,920.000000
196,2840.000000,920.000000
197,2880.000000,960.000000
198,2880.000000,920.000000
199,2880.000000,920.000000
200,2880.000000,920.000000
201,2880.000000,920.000000
202,2840.000000,960.000000
203,2880.000000,960.000000
204,2880.000000,960.000000
205,2880.000000,960.000000
206,2920.000000,920.000000
207,2920.000000,960.000000
208,2920.000000,960.000000
209,2880.000000,920.000000
210,2920.000000,960.000000
211,2920.000000,960.000000
212,2880.000000,960.000000
213,2880.000000,960.000000
214,2880.000000,960.000000
215,2880.000000,960.000000
216,2920.000000,960.000000
217,2920.000000,920.000000
218,2920.000000,960.000000
219,2920.000000,960.000000
220,2920.000000,960.000000
221,2920.000000,960.000000
222,2920.000000,960.000000
223,2920.000000,960.000000
224,2920.000000,960.000000
225,2920.000000,960.000000
226,2920.000000,920.000000
227,2920.000000,960.000000
228,2920.000000,960.000000
229,2920.000000,920.000000
230,2920.000000,960.000000
231,2920.000000,960.000000
232,2920.000000,960.000000
233,2920.000000,960.000000
234,2920.000000,960.000000
235,2920.000000,960.000000
236,2920.000000,960.000000
237,2960.000000,960.000000
238,2960.000000,960.000000
239,2920.000000,960.000000
240,2920.000000,960.000000
241,2960.000000,960.000000
242,2920.000000,960.000000
243,2960.000000,960.000000
244,2960.000000,960.000000
245,2920.000000,960.000000
246,2960.000000,960.000000
247,2960.000000,960.000000
248,2960.000000,960.000000
249,2960.000000,960.000000
250,2960.000000,960.000000
251,2960.000000,960.000000
252,2960.000000,960.000000
253,2960.000000,1000.000000
254,2960.000000,960.000000
255,2960.000000,960.000000
